New asteroid: (389,600) (0.00916051,-0.249832)
New asteroid: (800,299) (-0.199999,0.000499998)
New asteroid: (564,0) (-0.0719507,0.131617)
New asteroid: (0,255) (0.248433,0.0279487)
New asteroid: (54,600) (0.151109,-0.131019)
New asteroid: (800,152) (-0.0468931,0.0173504)
New asteroid: (146,0) (0.0323085,0.0381597)
New asteroid: (800,466) (-0.323268,-0.134156)
New asteroid: (399,600) (0.000999994,-0.299998)
New asteroid: (11,600) (0.158373,-0.122139)
Round Start
Shooting: (470.057,364.818) (0.766044,0.642788)
Shooting: (470.057,364.818) (0.766044,0.642788)
Shooting: (470.057,364.818) (0.766044,0.642788)
Shooting: (470.057,364.818) (0.766044,0.642788)
Shooting: (470.057,364.818) (0.766044,0.642788)
Shooting: (472.314,361.877) (0.819152,0.573576)
Shooting: (472.314,361.877) (0.819152,0.573576)
Shooting: (472.314,361.877) (0.819152,0.573576)
Shooting: (472.314,361.877) (0.819152,0.573576)
Shooting: (472.314,361.877) (0.819152,0.573576)
Shooting: (472.314,361.877) (0.819152,0.573576)
Shooting: (474.306,358.75) (0.866025,0.5)
Shooting: (474.306,358.75) (0.866025,0.5)
Shooting: (474.306,358.75) (0.866025,0.5)
Shooting: (474.306,358.75) (0.866025,0.5)
Shooting: (474.306,358.75) (0.866025,0.5)
Shooting: (476.018,355.461) (0.906308,0.422618)
Shooting: (476.018,355.461) (0.906308,0.422618)
Shooting: (476.018,355.461) (0.906308,0.422618)
Shooting: (476.018,355.461) (0.906308,0.422618)
Shooting: (476.018,355.461) (0.906308,0.422618)
Round End
New asteroid: (347,0) (0.00869863,0.0492375)
New asteroid: (0,328) (0.448902,-0.0314231)
New asteroid: (800,397) (-0.437325,-0.106051)
New asteroid: (167,600) (0.0613394,-0.0789777)
New asteroid: (456,0) (-0.0825737,0.442359)
New asteroid: (540,600) (-0.14801,-0.317164)
New asteroid: (742,0) (-0.150352,0.131888)
New asteroid: (737,0) (-0.298768,0.265966)
New asteroid: (618,600) (-0.11757,-0.161794)
New asteroid: (800,219) (-0.196021,0.0396943)
Round Start
Shooting: (398.982,319.539) (-0.906308,-0.422618)
Shooting: (398.982,319.539) (-0.906308,-0.422618)
Shooting: (398.982,319.539) (-0.906308,-0.422618)
Shooting: (398.982,319.539) (-0.906308,-0.422618)
Shooting: (398.982,319.539) (-0.906308,-0.422618)
Shooting: (398.982,319.539) (-0.906308,-0.422618)
Shooting: (398.982,319.539) (-0.906308,-0.422618)
Shooting: (398.982,319.539) (-0.906308,-0.422618)
Shooting: (398.982,319.539) (-0.906308,-0.422618)
Shooting: (398.982,319.539) (-0.906308,-0.422618)
Shooting: (398.982,319.539) (-0.906308,-0.422618)
